fournisseur;ref_sku;nom_commercial;famille;categorie;gamme;tags;url_source;date_collecte
Bridor;40838;Croissant multigrains SelectBlend 35g;VIEN;croissants;Les Evasions;Matière Grasse Composée;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-multigrains-selectblend-35g-40838;2026-09-10
Bridor;42746;Croissant SelectBlend 60g;VIEN;croissants;Baker Solution;Matière Grasse Composée;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-selectblend-60g-42746;2026-09-10
Bridor;43880;Croissant SelectBlend 65g;VIEN;croissants;Baker Solution;Matière Grasse Composée;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-selectblend-65g-43880;2026-09-10
Bridor;35508;Croissant SelectBlend 70g;VIEN;croissants;Baker Solution;Matière Grasse Composée;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-selectblend-70g-35508;2026-09-10
Bridor;42739;Croissant SelectBlend 80g;VIEN;croissants;Baker Solution;Matière Grasse Composée;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-selectblend-80g-42739;2026-09-10
Bridor;40871;Croissant SelectBlend Topping sucre 75g;VIEN;croissants;Baker Solution;Matière Grasse Composée;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-selectblend-topping-sucre-75g-40871;2026-09-10
Bridor;41241;Croissant Vegan 70g;VIEN;croissants;Baker Solution;Matière Grasse Végétale;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-vegan-70g-41241;2026-09-10
Bridor;40544;Croissant Zaatar 35g;VIEN;croissants;Les Evasions;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-zaatar-35g-40544;2026-09-10
Bridor;40543;Croissant Zaatar 70g;VIEN;croissants;Les Evasions;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-zaatar-70g-40543;2026-09-10
Bridor;43279;Maxi Croissant 120g;VIEN;croissants;Les Classiques;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/maxi-croissant-120g-43279;2026-09-10
Bridor;32921;Mini Croissant 20g;VIEN;croissants;Les Savoureux;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/mini-croissant-20g-32921;2026-09-10
Bridor;32956;Mini Croissant 20g;VIEN;croissants;Les Savoureux;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/mini-croissant-20g-32956;2026-09-10
Bridor;33980;Mini Croissant 25g;VIEN;croissants;Eclat Du Terroir;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/mini-croissant-25g-33980;2026-09-10
Bridor;32181;Mini Croissant 25g;VIEN;croissants;Les Savoureux;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/mini-croissant-25g-32181;2026-09-10
Bridor;34840;Mini Croissant 25g;VIEN;croissants;Les Classiques;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/mini-croissant-25g-34840;2026-09-10
Bridor;39714;Mini Croissant 25g;VIEN;croissants;Les Irrésistibles;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/mini-croissant-25g-39714;2026-09-10
Bridor;40260;Mini Croissant 35g;VIEN;croissants;Bridor x Pierre Hermé Paris;Beurre Breton;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/mini-croissant-35g-40260;2026-09-10
Bridor;35506;Mini Croissant SelectBlend 25g;VIEN;croissants;Baker Solution;Matière Grasse Composée;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/mini-croissant-selectblend-25g-35506;2026-09-10
Bridor;40837;Mini Croissant SelectBlend 30g;VIEN;croissants;Baker Solution;Matière Grasse Composée;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/mini-croissant-selectblend-30g-40837;2026-09-10
Bridor;42855;Mini Croissant Vegan 30g;VIEN;croissants;Baker Solution;Matière Grasse Végétale;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/mini-croissant-vegan-30g-42855;2026-09-10
Bridor;32717;Maxi Pain au Chocolat 150g;VIEN;pains-au-chocolat;Les Classiques;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/pains-au-chocolat/maxi-pain-au-chocolat-150g-32717;2026-09-10
Bridor;32182;Mini Pain au Chocolat 25g;VIEN;pains-au-chocolat;Les Savoureux;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/pains-au-chocolat/mini-pain-au-chocolat-25g-32182;2026-09-10
Bridor;34853;Mini Pain au Chocolat 25g;VIEN;pains-au-chocolat;Les Classiques;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/pains-au-chocolat/mini-pain-au-chocolat-25g-34853;2026-09-10
Bridor;32922;Mini Pain au Chocolat 28g;VIEN;pains-au-chocolat;Les Savoureux;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/pains-au-chocolat/mini-pain-au-chocolat-28g-32922;2026-09-10
Bridor;32958;Mini Pain au Chocolat 28g;VIEN;pains-au-chocolat;Les Savoureux;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/pains-au-chocolat/mini-pain-au-chocolat-28g-32958;2026-09-10
Bridor;39713;Mini Pain au Chocolat 28g;VIEN;pains-au-chocolat;Les Irrésistibles;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/pains-au-chocolat/mini-pain-au-chocolat-28g-39713;2026-09-10
Bridor;33981;Mini Pain au Chocolat 30g;VIEN;pains-au-chocolat;Eclat Du Terroir;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/pains-au-chocolat/mini-pain-au-chocolat-30g-33981;2026-09-10
Bridor;40261;Mini Pain au Chocolat 40g;VIEN;pains-au-chocolat;Bridor x Pierre Hermé Paris;Beurre Charentes-Poitou AOP;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/pains-au-chocolat/mini-pain-au-chocolat-40g-40261;2026-09-10
Bridor;35507;Mini Pain au chocolat SelectBlend 28g;VIEN;pains-au-chocolat;Baker Solution;Matière Grasse Composée;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/pains-au-chocolat/mini-pain-au-chocolat-selectblend-28g-35507;2026-09-10
Bridor;42760;Mini Pain au chocolat SelectBlend 35g;VIEN;pains-au-chocolat;Baker Solution;Matière Grasse Composée;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/pains-au-chocolat/mini-pain-au-chocolat-selectblend-35g-42760;2026-09-10
Bridor;42870;Mini Pain au Chocolat Vegan 32g;VIEN;pains-au-chocolat;Baker Solution;Matière Grasse Végétale;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/pains-au-chocolat/mini-pain-au-chocolat-vegan-32g-42870;2026-09-10
Bridor;32918;Pain au Chocolat 32g;VIEN;pains-au-chocolat;Les Savoureux;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/pains-au-chocolat/pain-au-chocolat-32g-32918;2026-09-10
Bridor;33751;Pain au Chocolat 65g;VIEN;pains-au-chocolat;Les Classiques;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/pains-au-chocolat/pain-au-chocolat-65g-33751;2026-09-10
Bridor;32822;Pain au Chocolat 65g;VIEN;pains-au-chocolat;Les Savoureux;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/pains-au-chocolat/pain-au-chocolat-65g-32822;2026-09-10
