fournisseur;ref_sku;nom_commercial;famille;categorie;poids_piece;unites_par_colis;url_source;date_collecte
Coup de Pates;70853;FLAN INDIVIDUEL D95 185 G 16 PCE;PATI;autres-patisseries;185g;16;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/TARTES-%26-TARTELETTES/FLAN-INDIVIDUEL-D95-185-G-16-PCE/p/70853;2026-09-10
Coup de Pates;70865;ECLAIR OH OUI! : LE CRAQUELIN NOISETTE 80G 16PCE;PATI;autres-patisseries;80g;16;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/P%C3%82TE-%C3%80-CHOUX-%26-BABAS/ECLAIR-OH-OUI%21-%3A-LE-CRAQUELIN-NOISETTE-80G-16PCE/p/70865;2026-09-10
Coup de Pates;70859;TARTELETTE CHOCOLAT SELECTION CUIT Ø80 65G 27PCE;PATI;autres-patisseries;65g;27;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/TARTES-%26-TARTELETTES/TARTELETTE-CHOCOLAT-SELECTION-CUIT-%C3%9880-65G-27PCE/p/70859;2026-09-10
Coup de Pates;70860;TARTELETTE CITRON SELECTION CUIT Ø80 67G 27PCE;PATI;autres-patisseries;67g;27;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/TARTES-%26-TARTELETTES/TARTELETTE-CITRON-SELECTION-CUIT-%C3%9880-67G-27PCE/p/70860;2026-09-10
Coup de Pates;70861;CROUSTADE AUX POMMES CRU Ø280 950G 6PCE;PATI;patisserie;950g;6;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/TARTES-%26-TARTELETTES/CROUSTADE-AUX-POMMES-CRU-%C3%98280-950G-6PCE/p/70861;2026-09-10
Coup de Pates;70862;CROUSTADE AUX POMMES CRU Ø220;PATI;patisserie;500g;6;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/TARTES-%26-TARTELETTES/CROUSTADE-AUX-POMMES-CRU-%C3%98220/p/70862;2026-09-10
Coup de Pates;70858;MOUSSELINE TROPÉZIENNE Ø310 3PCE 1,1KG;PATI;patisserie;;3;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/G%C3%82TEAUX/MOUSSELINE-TROP%C3%89ZIENNE-%C3%98310-3PCE-1%2C1KG/p/70858;2026-09-10
Coup de Pates;70863;CROUSTADE AUX MYRTILLES CRU Ø280 950G 6PCE;PATI;patisserie;950g;6;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/TARTES-%26-TARTELETTES/CROUSTADE-AUX-MYRTILLES-CRU-%C3%98280-950G-6PCE/p/70863;2026-09-10
Coup de Pates;70851;TARTELETTE BOURDALOUE POIRE Ø100;PATI;autres-patisseries;145g;36;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/TARTES-%26-TARTELETTES/TARTELETTE-BOURDALOUE-POIRE-%C3%98100/p/70851;2026-09-10
Coup de Pates;71172;ECLAIR GOURMAND CHOCOLAT CUIT 80G 20PCE;PATI;autres-patisseries;80g;20;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/P%C3%82TE-%C3%80-CHOUX-%26-BABAS/ECLAIR-GOURMAND-CHOCOLAT-CUIT-80G-20PCE/p/71172;2026-09-10
Coup de Pates;71174;ECLAIR GOURMAND VANILLE CUIT 80G 20PCE;PATI;autres-patisseries;80g;20;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/P%C3%82TE-%C3%80-CHOUX-%26-BABAS/ECLAIR-GOURMAND-VANILLE-CUIT-80G-20PCE/p/71174;2026-09-10
Coup de Pates;71173;ECLAIR GOURMAND CAFÉ CUIT 80G 20PCE;PATI;autres-patisseries;80g;20;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/P%C3%82TE-%C3%80-CHOUX-%26-BABAS/ECLAIR-GOURMAND-CAF%C3%89-CUIT-80G-20PCE/p/71173;2026-09-10
Coup de Pates;71031;MAXI ECLAIR PARFUM CHOCOLAT CUIT 105G 30PCE;PATI;autres-patisseries;105g;30;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/P%C3%82TE-%C3%80-CHOUX-%26-BABAS/MAXI-ECLAIR-PARFUM-CHOCOLAT-CUIT-105G-30PCE/p/71031;2026-09-10
